Review Date,Airline,Verified,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended,Cleaned_Reviews
10-02-2020,Singapore Airlines,True,Solo Leisure,Jan-20,Ho Chi Minh City to Los Angeles via Singapore,Economy Class,5,1,5,4,5,9,yes,jakarta seoul incheon via singapore jakarta singapore firstly legroom pretty decent 180 cm still around 10 cm space left knee inflight entertainment system old school channel content date crew nice meal okay fried noodle beef served bun fruit always lot different beverage option singapore airline actually great short route singapore really enjoy flight singapore seoul boeing 78710 b78710 legroom bit shorter still enough 180 cm man like arm rest gap bit narrow configuration 3x3x3 sat middle two passenger sat right left side quite okay first place meal time came struggled spill others passenger meal elbow narrow entertainment system really new lot different option date 5 hour 25 minute flight one time meal one snack time okay tho 2 option korean western menu opted korean one menu bibimbap okay since bibimbap vegetable beef mixed korean condiment cabin clean interesting aircraft window shade electric dimming window colour nice first time flying boeing 78710 still like a380 a330 better compared aircraft
05-02-2020,Singapore Airlines,True,Couple Leisure,Nov-19,Busan to Singapore,Business Class,3,4,3,5,3,1,yes,ho chi minh city los angeles via singapore departed flight ho chi minh city way catch next flight los angeles realized left iphone 11 plane phone left compartment facing seat immediately went lost found explained situation also informed agent gate enough time searched plane departure unfortunately never received word airline also filled paperwork los angeles tried contacting singapore airline many occasion receive one reply disappointment airline doesnt decency correspond airline great review definitely lack common courtesy
04-02-2020,Singapore Airlines,True,Family Leisure,Feb-20,"Los Angeles to Jakarta via Tokyo, Singapore",Economy Class,5,5,5,2,4,7,yes,busan singapore first service dramatically improved since last trip sia cabin crew super friendly cheerful serf customer big smile however disappointing part attitude ground staff busan one ground staff impatient thing insincerely delay precious time travelmate asking unnecessary document ground staff require another shocking part cleanliness situation cabin quite dirty sias standard coffee stain tray table cupholder seat however cabin crew responsive quickly cleaned stain lunch food ok finish food cabin crew asked feedback offered option something appreciate despite disappointment cleanliness attitude ground staff cabin crew attitude actually made day
03-02-2020,Singapore Airlines,True,Solo Leisure,Dec-19,Singapore to Sydney,Economy Class,3,4,5,4,4,6,yes,los angeles jakarta via tokyo singapore friendly service best food really tasty ate japanese cuisine disappointing every 1 2 hour offered u drink like
26-01-2020,Singapore Airlines,True,Solo Leisure,Dec-19,Bangkok to Singapore,Economy Class,5,4,5,2,1,1,no,upon attempting return australia singapore airline said could check ticket marked flown ticketing airline buy another ticket another airline fly home asked letter showing allowed check nothing behaviour condition etc singapore airline wrote say show problem checkingin
20-01-2020,Singapore Airlines,True,Family Leisure,Jan-20,Denpasar to Singapore,Business Class,2,5,1,3,1,5,no,bangkok singapore biggest let okay food ran certain dish first service run service flight understandably rushed due 2hours duration also terrible ordered postmeal drink note taken forgot requested drink told late bar closed pay premium business class partly enjoy amenity including fb running certain dish forgetting serve drink render wasted expense currently recommend airline
17-01-2020,Singapore Airlines,True,Family Leisure,Jan-20,Paris  to Singapore,Economy Class,2,4,5,4,5,10,yes,denpasar singapore best flight ever singapore airline staff warm helpful hospitable changed flight two time cyclone country airline hospitable changed flight without picking fuss free check denpasar friendly staff happily gave window seat board amazed plane new extremely comfortable cant wait fly future
17-01-2020,Singapore Airlines,True,Family Leisure,Dec-19,Singapore to Perth,Premium Economy,4,5,1,4,3,8,yes,singapore newark return family say looking forward spending 1719 hour aircraft however time passed quickly indeed would recommend singapore airline route wanting access u east coast service good premium economy seat comfortable used book cook option food okay also lot snack available galley want ife one better one market decent touchscreen good selection movie tv show booked one seat rear cabin certainly worth overall recommended would take option nyc singapore flight go far quicker would think
16-01-2020,Singapore Airlines,True,Family Leisure,Jan-20,Sydney to Singapore,Economy Class,5,5,1,4,1,1,no,singapore perth flight delayed reached gate closed advised gate changed walk side airport sat hour boarding advised different flight number airline destination though checked 2 hour prior flight time never paged u looked u took luggage flight advised u next flight full also need wait till next day another flight well pay penalty
15-01-2020,Singapore Airlines,False,Couple Leisure,Nov-19,Singapore to Frankfurt,Economy Class,4,5,2,5,3,2,no,sydney singapore economy class recently received status match qf platinum received kris gold airport proceeded first class check allowed qf platinum realise kris gold ’ provide benefit told check supervisor unfair passenger come wrong desk purpose came back repeated front passenger experience humiliating made genuine error
13-01-2020,Singapore Airlines,True,Solo Leisure,Dec-19,Singapore to Brisbane,Premium Economy,4,5,5,4,5,5,yes,singapore frankfurt lucky enough get upgrade premium economy 13h flight something rarely happens sq seat reasonably comfy plenty legroom menu card premium economy something ’ got even class flight year ago food ok nothing shout disappointing part robotic overly friendly service think day famous “ singapore girl ” gone carrier like qatar airway mile ahead
12-01-2020,Singapore Airlines,True,Couple Leisure,Jan-20,San Francisco to Kolkata via Singapore,Economy Class,4,5,2,4,5,10,yes,flew thursday 9th jan 2020 singapore brisbane endured turbulence flying singapore hour became nauseated uncomfortable staff kind helpful making sure looked checked numerous time throughout flight impressed cabin crew would recommend flying airline future
10-01-2020,Singapore Airlines,True,Solo Leisure,Nov-19,Perth to Hanoi via Singapore,Premium Economy,5,5,5,5,4,5,yes,san francisco kolkata via singapore sfosin flight asked extra bread rollbutter one meal time given bread told ‘ sorry ’ one butter per passengertray ’ asked chinese tea instead taking around told ‘ ’ ’ sfo checkin counter stood head premium economy line 15min passenger come attended 3 time expressed surprise lady said wrong queue bag drop pointed standing bag drop check attended first time ever sq experience left bad taste mouth especially given wonderful always warmly recommend everyone specifically customer service would unfortunate airline keep usual standard
09-01-2020,Singapore Airlines,True,Couple Leisure,Jan-20,Singapore to London Heathrow,Business Class,5,5,1,4,5,10,yes,perth hanoi via singapore crew friendly accommodating food tasty well presented fault airline singapore airline one best travelled long time
08-01-2020,Singapore Airlines,True,Family Leisure,Dec-19,London to Singapore,Business Class,5,4,3,3,5,9,yes,singapore london heathrow yet another excellent flight singapore airline despite flying older product older a380 operating 14hour flight singapore london still enjoyed seat cabin nearly empty could choose whatever seat wanted seat huge lot legroom width comfortable unfortunately ife touchscreen responsive would expected 13yearold system still large variety movie tv show entertainment system crew friendly helpful provided excellent service really made flight enjoyable food absolutely delicious could hardly tell difference airline food food ground arrived london time
07-01-2020,Singapore Airlines,True,Couple Leisure,Dec-19,Istanbul to Denpasar via Singapore,First Class,4,5,4,5,5,10,yes,london singapore dedicated first lounge heathrow singapore also hong kong unlike emirate etihad put first customer business flyer airport paying much money ’ acceptable amazing staff food especially book cook turbulent flight nervous flyer ’ caring absolutely bad thing say apart fact ’ a380 777 horrible plane fly
07-01-2020,Singapore Airlines,True,Family Leisure,Jan-20,Singapore to Moscow,Business Class,5,4,4,3,5,9,yes,great experience flying business class istanbul denpasar bali via singapore loved lie flat bed although warm cabin prevented getting lot sleep fb service excellent professionally served sq crew love book cook service order fine dining meal advance great choice wine plenty champagne refill wife eat gluten free meal small criticism lack gluten free option wifi allowance 100 mb business class rather limited well smooth transfer singapore kris lounge crowded turkish airline lounge used sq istanbul airport massive offer excellent choice hot turkish food great flight sq look forward flying business class soon
04-01-2020,Singapore Airlines,True,Couple Leisure,Jan-20,Singapore to Newark,Economy Class,5,1,2,3,4,7,no,singapore moscow land passenger went toilet male flight attendant asked went “ hold ” passenger shook head ’ went subsequently flight attendant talk u passenger kind people caused landing delay flight attendant went knock toilet door shouted ask passenger come quickly moscow singapore 2 jan 2020 question sia inform passenger much alcohol consume heard female flight attendant said “ drank lot ” mandarin another flight attendant later customer front request drink heard flight attendant said “ plane bar ” rude customer even mean well control consumption alcohol sia make decision either alcohol limited alcohol informed passenger booking ticket free flow find way handle instead rude passenger
03-01-2020,Singapore Airlines,True,Couple Leisure,Dec-19,Auckland to Singapore,Premium Economy,5,5,5,5,3,6,no,singapore newark wife seated 31a31c sq22 family five overbearing inconsiderate non stop talking sin ewr entire flight made difficult sleep even premium economy paying extra 120 seat waste money food including book cook extraordinary entertainment selection movie music tv series inadequate understand flight crew needed rest long journey however cleaning toilet bin unacceptable ive flown competitor premium economy ana eva attest toilet premium economy kept immaculate long leg either japan taipei something said passenger treatment flying business class separate flight mnl sin wife flew sq business customer service met unfortunately premium economy customer treated way
01-01-2020,Singapore Airlines,True,Couple Leisure,Dec-19,Singapore to Perth,Premium Economy,1,2,4,5,3,6,yes,auckland singapore decided try premium economy due extra legroom slightly wider seat although additional recline negligible two option provided seat uncomfortable much vaunted leg foot rest fit purpose average average height used facility “ book cook ” two four meal provided return flight sadly meal unappetising bland airline longer providing salt pepper one round drink offered although premium economy quite bit expensive economy benefit small except leg space also use economy toilet would fine except particularly well maintained admit flight full staff would kept busy usual flight attendant beautifully groomed always polite surprised lack variety entertainment system
30-12-2019,Singapore Airlines,True,Family Leisure,Jul-19,Munich to Singapore,Economy Class,5,5,1,1,4,8,yes,singapore perth aircraft changed 777 a350 regional configuration boarding slightly delayed well managed priority given traveling child new a350 regional still 3x3x3 little less space seat premium economy actually prefer cabin colour long haul version staff friendly service first rate good selection meal option pleasant 45 hour flight flight arrived ontime due medical emergency everyone remain seated person could deplaned took 30 min meant due 2 flight landed immigration chaosnot sq fault flown a350 787 say airbus better plane
29-12-2019,Singapore Airlines,True,Family Leisure,Jul-19,Perth to Singapore,Economy Class,2,3,3,1,4,8,yes,munich singapore boarding quick efficient departure time crew friendly visible throughout flight lunch served hour takeoff hot breakfast delivered 2 hour landing drink brought every hour ensure people stayed hydrated plane clean bathroom least used usual wide selection entertainment available a350 great plane travel sq made sure plenty legroom storage pocket great holding phone instead one big pocket really good flight
28-12-2019,Singapore Airlines,True,Family Leisure,Dec-19,Perth to Singapore,Business Class,4,5,3,5,4,9,yes,perth singapore great service seat comfortable business although could less comfortable tall person 787s space seat tv monitor quite narrow table one must sit quite upright comfortable airbus qatar ’ qsuites definitely way better 99 airline lobster thermidor happy much better tender yet creamy sauce asian drink board umeshu brilliant free wifi available board lasted 5 hour flight even facebook surfing
27-12-2019,Singapore Airlines,True,Family Leisure,Jul-19,Singapore to Bali,Economy Class,2,4,4,4,4,7,yes,perth singapore july 2019 midnight flight fmainly see 787 compare a350 checkin smooth save issue allowing u take travel stroller fold something size briefcase board wasnt carry bag random thing 2 previous leg several flight sq wasnt issue told new rule odd thing cabin crew never heard 3 day later sinmuc issue taken hand luggage flight boarded late due late arrival time made near time arrival 787 tighter configuration a350 regional configuration mean less seat width perceived little less leg room plane spotless given choice would take a350 787 beat area crew less going motion bit robotic entertainment option still top even 4 leg flow month run thing watch breakfast served good option available 4 leg probably disappointing sq still enjoyable flight
26-12-2019,Singapore Airlines,True,Solo Leisure,Dec-19,London to Hong Kong via Singapore,Economy Class,4,5,4,4,5,8,yes,singapore bali great service though food choice service reached seat main dish completely served plenty movie selection latest hit
24-12-2019,Singapore Airlines,True,Family Leisure,Dec-19,Singapore to Dubai,Economy Class,5,5,5,2,3,7,yes,london hong kong via singapore happy sq always preferred cathay pacific hence extra 4 hour taking flight instead direct flight flight great nothing complain cardholder access lounge sq always great accepting kid younger 12yrs lounge upon arrival hong kong discovered one suitcase damaged zipper damaged could used anymorei went straight handling agent offered 3 option 1 could provide report travel insurance 2 could try fix 3 offered 500 hkd 50 euro compensation argued destroyed luggage insurance pay damaged caused also 500hkd would never cover new suitcase bought year ago asked see somebody singapore airline girl appeared immediately offer made amount got 800hkd argued money wouldnt even cover new one agreed luggage picked place hkg tried repaired nothing happened 3 day forced contact airline direct anyway suitcase picked thursday told saturday afternoon couldnt fix would offer 1080hkd idea came amount take leave deal actually made worse till today received apology even acknowledgement damage caused
20-12-2019,Singapore Airlines,True,Family Leisure,Dec-19,Sapporo to Singapore,Economy Class,3,5,1,4,5,10,yes,would like shout special thanks caitlyn air hostess assisted u flight sq494 singapore dubai 4 year old son fell sick flight team mainly caitlyn ensured give u assistance needed including getting childrens paracetemol calmed fever within 7 hour thanks lot
17-12-2019,Singapore Airlines,True,Family Leisure,Dec-19,Colombo to Sydney via Singapore,Economy Class,4,1,5,3,1,3,no,melbourne chitose return via singapore sia chitose singapore leg codeshare scoot appalled sia ticket price paid received budget airline service firstly party 4 couldnt seat u together put u 2 1 1 complaining put u 2 2 flew 3 seat free right next u secondly dont give choice meal mention food barely edible give bottle water pay beer soft drink etc given paid sia price full service youd think id get service
16-12-2019,Singapore Airlines,False,Couple Leisure,Dec-19,Melbourne to Coimbatore via Singapore,Economy Class,1,5,1,4,3,3,no,colombo sydney via singapore complaint great cabin crew flight hard working polite main issue delay boarding departure arrival almost missed connecting flight 2 occasion second one trip sydney singapore stressful time changing terminal walking several hundred metre gate boarding second flight scheduled start still board 1st flight recent surgery literally ran gate hand luggage ground staff less helpful well boarding using boarding group ridiculous much confusion people trying pas people putting luggage away call boarding last row time rather huge boarding group staff ground disorganised twice singapore airline lost luggage left holiday couple day clothes till managed get luggage food tasteless surely one like cheese mushroom mini pie colombosingapore leg
16-12-2019,Singapore Airlines,True,Family Leisure,Nov-19,Johannesburg to Singapore,Economy Class,4,5,3,2,1,2,no,melbourne coimbatore via singapore singapore airline disappointed u last three trip price charge expensive singapore destination get travel budget airline scoot silk air ’ make sense ask help say ’ different management ’ help moreover special assistance low cost airline also singapore airport warm air conditioner controlled well across
12-12-2019,Singapore Airlines,True,Couple Leisure,Dec-19,Jakarta to Munich via Singapore,Premium Economy,5,1,4,4,4,8,yes,johannesburg singapore premium economy late flight incoming flight delayed preceding flight late departing gate arrived time boarding supposed start however following quick turnaround efficiently organised boarding flight departed time usual warm welcome crew active helping passenger stow belonging settle singapore airline offer predeparture drink unlike airline premium economy seat comfortable good legroom recline calf rest serf little purpose difficult retract deployed usually accident noted passenger used calf rest cabin overall pleasant service commenced promptly take separate drink run understandable late departure meal best described typical airline food best part ice cream service food strictly economy class crockery tablecloth johannesburg opportunity book cook drink served plastic tumbler somewhat meagre offering good champagne offered premium economy plastic faux stemmed glass even smaller standard tumbler refill offered tray cleared somewhat later wife able sleep several hour seemed quite strange woken deep sleep offered lunch two hour landing ahead schedule deplaning quick immigration luggage collection super efficient norm changi overall good flight excellent service measured standard economy unfortunately economy class service fault crew lack extra expected premium economy lack crew dedicated premium economy issue
11-12-2019,Singapore Airlines,True,Solo Leisure,Nov-19,Sydney to Frankfurt via Singapore,Economy Class,5,5,1,4,5,9,yes,’ flying sq say improved lot saying previous sq flight bad awful great feel like could improved recent flight sq near flawless seemed like listened customer ’ feedback made overall experience better obvious improvement ife system employed newest technology regarding ife system screen wide really responsive touch color bright newest released movie available available medium content music video movie enough accompany whole journey ’ even open ipad throughout trip seat redesigned felt comfortable leg space spacious food beverage even tastier ever moment best airline ’ perfect though want sq outdo become better overtime could give one suggestion would like provide wireless connection headphone house earphone ’ cut today headearphones wireless
09-12-2019,Singapore Airlines,False,Family Leisure,Dec-19,Singapore to Perth,Economy Class,4,1,2,4,4,8,yes,always look forward flying sq crew welltrained flight plantimetable suit u leg sydney singapore plane left time disappointment boarding process compared changi boarding group neat idea work well changi sydney usual fare economy passenger standing massive queue trying get quickly possible staff announcing boarding group enforcing overhead screen showed group 4 nonstop whilst boarded group whatever service board warm welcoming food good surprisingly even though announced immigration card handed asked told ’ think ran time love flying a380 spacious calm quiet ’ great experience got changi minute early next day afternoon take fra 777 food sparse mediocre bad quite standard amount last year entertainment system big screen amount offer nowhere near emirate standard harder find thingsoperate touchscreen sometimes responsive one would liked crew good friendly lot snack available incl fresh apple meal time wine chile excellent crew always walking around drink tray disappointing cost cutting measure flight ’ hand amenity kit anymore unless ask cabin crew otherwise ok
04-12-2019,Singapore Airlines,True,Business,Dec-19,New York JFK to Singapore via Frankfurt,Business Class,5,4,4,5,4,8,yes,singapore perth sq215 boeing 787 flat bed business class business class seat lie flat rather cramped table term comfort ok good airbus used long haul flight compartment leg rather narrow could uncomfortable someone taller need bend hisher knee food good maintains singapore airline standard food service good number drink service frequent flight overall still happy sq fly
03-12-2019,Singapore Airlines,True,Solo Leisure,Nov-19,Singapore to Tokyo,Premium Economy,4,4,5,5,5,8,yes,flew jfkfrasin vv sq2526 premium economy great value overall airfare 1000 rt jfk facility subpar t4 premium airline boarding chaotic roughly six separate line outside main gate handle double decker flight prem economy cabin nice clean nice orangegrey color scheme blanket pillow seat along noise cancelling headphone amenity kit upon request containing sock dental kit eyemask upon request nice pitch calf support generous recline economy meal smaller side difference back believe extra choice champagne plastic cup able prebook meal using book cook nice feature premium economy jfkfra cabin crew much friendlier frasin still trademark sq service throughout krisworld great selection movie tv add playlist pretty nifty easy use transfer fra 90min fuss security arrival sq easy quick check return flight great t3 changi nice return flight noneventful excellent service particularly frajfk sector less full whereas sin packed great experience overall would definitely recommend premecon keep fare less 1200 sure value pay much
02-12-2019,Singapore Airlines,True,Solo Leisure,Nov-19,Shanghai to Singapore,Business Class,4,5,3,5,5,9,yes,singapore tokyo chose particular flight others day experience sq new boeing 78710 however later changed a380 though old version aircraft well maintained clean singapore airline lounge sin terminal 3 nice crowded time boarding order cabin service generally good
02-12-2019,Singapore Airlines,True,Solo Leisure,Nov-19,Shanghai to Singapore,First Class,3,1,2,4,5,10,yes,shanghai singapore shanghai currently among airport receive sq updated a380 service new suite 6 total occupy whole forward section upper deck spectacular comparison area etihad fit 9 spacious apartment emirate manages squeeze 14 first class suite armchair comfortable thick padding bed easily comfortable experienced plane suite spacious thought sleeping small hotel room meal service great lot attention detail though find food tasty top first class service including sq old suite probably chose wrong menu item bookthecook available shanghai ground got access air china first class lounge offered buffet alacarte dinning though try full big lunch shanghai
02-12-2019,Singapore Airlines,True,Family Leisure,Nov-19,Singapore to Kuala Lumpur,Economy Class,1,5,5,5,5,10,yes,shanghai singapore packed lovely flight singapore airline seat 59a wide comfortable good legroom seat practical lot compartment store thing furthermore ife responsive large variety movie available lunch menu given passenger great touch already good service lunch served flight delicious pork chicken combination crew provided excellent service promptly provided drink whenever requested
02-12-2019,Singapore Airlines,True,Business,Dec-19,Amsterdam to Singapore,Economy Class,4,3,5,5,5,9,yes,singapore kuala lumpur nice surprise discovered boarding sq plane rather silkair one service good like sq flight plane old whatever 45 minute access entertainment earphone unable watch movie properly 1 drink service coffee tea juice looking forward sia decommissioning silkair plane service seat sq way better
01-12-2019,Singapore Airlines,False,Business,Nov-19,Bangkok to Singapore,Business Class,2,2,4,5,4,9,yes,amsterdam singapore fantastic flight great food drink selection extensive umeshu disappointed sake satay pate appetizer welcomed singapore arrived sg service impeccable known name definitely fly singapore airline
30-11-2019,Singapore Airlines,True,Couple Leisure,Nov-19,Johannesburg to Christchurch via Singapore,Economy Class,5,5,1,5,1,1,no,bangkok singapore mechanical problem plane shifting gate half hour walk away original go total chaos total ineptness plane available shift passenger onto flight another plane airline four hour later send new plane singapore six hour delay hand writing food voucher layover also quite humorous 200 passenger poor communication time even answering direct simple question checkin process 12 hour living airport
28-11-2019,Singapore Airlines,True,Couple Leisure,Oct-19,Delhi to Cairns via Singapore,Economy Class,1,4,4,5,5,10,yes,johannesburg christchurch via singapore amazing experience u first time passenger singapore airline staff friendly professional dressed groomed well communication passenger make real feel good experience endless effort keep passenger comfortable happy plane clean hygienic entertainment long flight top quality huge variety available right boarding wet hot cloth provides stepping plane 1010 experience keep
27-11-2019,Singapore Airlines,True,Solo Leisure,Nov-19,Bangalore to Melbourne via Singapore,Economy Class,5,1,1,4,5,10,yes,delhi cairn via singapore singapore airline great service helpful staff lovely food good movie staff member helped lot boarding pas queue great good people good food
27-11-2019,Singapore Airlines,True,Business,Nov-19,Milan to Singapore,Economy Class,3,2,3,4,3,5,no,flown sq time find current a350 economy class seat uncomfortable least 6 person like blrsin short haul flight even tightly packed sinmel marginally better melsin older b777 far better new gen 350s term economy class seat booked sfml every flight ended getting piece tasteless overcooked fish dabbed tomato sauce big difference previous experience seafood meal year ago think go option singapore airline flight time crew helpful overall experience far positive
